repository,language,pr,baseSha,headSha,mergedAt,url,title
ardalis/GuardClauses,dotnet,357,dc2b6e879892418100e4aea2eccc7211e43c3b51,27e0501e267cc4247a045f263f94b097a062913d,2024-09-30T18:22:59Z,https://github.com/ardalis/GuardClauses/pull/357,Update Obsolete message to note reversal of logic.
ardalis/GuardClauses,dotnet,350,6186c68df5af66c7f92841ddbb1e457bb25266c5,687dbb682ce4b816a496f76f1ca60b74ee2a0014,2024-07-01T19:15:29Z,https://github.com/ardalis/GuardClauses/pull/350,Use Func to pass custom exception to Guard methods
ardalis/GuardClauses,dotnet,344,04f04876641f683e468305e28ae0ba0edf0cf033,cfe061d6526635281016d01db600325aa4c78b84,2024-04-19T16:22:35Z,https://github.com/ardalis/GuardClauses/pull/344,"Added new ""exception"" optional parameter"
ardalis/GuardClauses,dotnet,343,901616c608760843c52ed1d6fa0ee9d0dc336859,bdef868fa6bafea93f792121c2c05eb804f2d19a,2024-02-26T17:12:31Z,https://github.com/ardalis/GuardClauses/pull/343,Update for Guard Against StringLength
ardalis/GuardClauses,dotnet,338,1051a5b47750701bbd347c0981d7606c66f3abf8,1ce7005a857f75b50c0e6cc0737e0140a301a657,2024-02-10T20:03:07Z,https://github.com/ardalis/GuardClauses/pull/338,Removed different method signatures for NETFRAMEWORK and NETSTANDARD2_0
ardalis/GuardClauses,dotnet,328,d96c62cb22b81488ab823666047cbb65fcc08dbd,07e7d4ea93131b2cb7d0551fd02e8196d539def6,2024-01-23T20:57:53Z,https://github.com/ardalis/GuardClauses/pull/328,Performance Improvements: NullOrEmpty check on IEnumerable<T>
ardalis/SmartEnum,dotnet,549,c4e023f47e6d007da013c9672ea2bdab85cfa0d1,0e599f982512ed28b66ee173056c975a92cc96fc,2025-01-15T02:16:21Z,https://github.com/ardalis/SmartEnum/pull/549,Updates documentation on FromValue method to reference correct exception type
ardalis/SmartEnum,dotnet,550,b0d3d9a68164014ece53c56748f296c718a8cb44,13374e5640513a202f3a18506085709f0141ea5e,2025-01-15T02:13:36Z,https://github.com/ardalis/SmartEnum/pull/550,Updates appropriate null checks to all use pattern matching
ardalis/SmartEnum,dotnet,557,7ee05adba110200d6f66fcf342dc801d6255c6f5,901e0c9eb60b888f048f7621e13197a6c1a967b5,2024-11-19T16:39:44Z,https://github.com/ardalis/SmartEnum/pull/557,TEnum[] to List<TEnum> for webassembly compatibility issue in .net 9
ardalis/SmartEnum,dotnet,533,c5dcd50c8f078e7f03cd83dcec368d3d1c2b50e6,af40d4c8d94c1e154247c6f1cef3e2d7ddabc3db,2024-09-11T18:27:00Z,https://github.com/ardalis/SmartEnum/pull/533,Add guard clauses for SmartEnum
ardalis/SmartEnum,dotnet,516,7396d733bfa838cedfdb76020dbd63a476a5f9c6,68bd51420f4a664a0e9eeedbd4cd05e09e795e8d,2024-04-28T15:22:55Z,https://github.com/ardalis/SmartEnum/pull/516,#515 Optimise dependencies to remove polyfil
ardalis/SmartEnum,dotnet,497,cb3e458c5ae138a0752e0a54044edd978ba80531,a0e8a2651e30821166f962586da11f41bc1e832d,2024-04-28T15:13:57Z,https://github.com/ardalis/SmartEnum/pull/497,Introduce a way to enumerate the enum values without memory allocation
apache/commons-text,java,764,79083a00a3c593592a42dd975b6e9ed27e35179a,6b76d9c6dd4d4e16013617c2e676d6458d6eac62,2026-08-04T18:08:47Z,https://github.com/apache/commons-text/pull/764,[TEXT-242] StringSubstitutorReader now able to substitute variables whose configured suffix is longer than two characters
apache/commons-text,java,763,abbbfbfa864756e2832c20c70a63c149db4c41ae,1c12400583776ea817cb953fbd2ed8564c7f8ce2,2026-07-30T11:34:07Z,https://github.com/apache/commons-text/pull/763,"[TEXT-241] TextStringBuilder.lastIndexOf("") and StrBuilder.lastIndexOf("") return incorrect index for empty string (size - 1 instead of size)"
apache/commons-text,java,749,50b108d331069a70d75b8fe110597bbe54a63662,485cac87ff4f9790c8a82083a2afee50aedc70ed,2026-07-18T17:02:59Z,https://github.com/apache/commons-text/pull/749,Return null for malformed input in UrlDecoderStringLookup
apache/commons-text,java,762,e906a0801e03da31256f0cba00d002f9814e8a9a,acf187f0fab4ee8a9e142c772e1fa8b3df3eb6f7,2026-07-11T15:06:49Z,https://github.com/apache/commons-text/pull/762,Match String case folding in TextStringBuilder.equalsIgnoreCase
apache/commons-text,java,759,961ac7fc87e11d5fc0bf0302b48713731ce0cdaf,054f311380b71dc28599a0b1e0f7ac106340ef1b,2026-07-02T20:03:43Z,https://github.com/apache/commons-text/pull/759,Stop ExtendedMessageFormat seekNonWs reading past the pattern end
apache/commons-text,java,756,5eb248529803f80174102807ef13eb6006666329,596d9bafed33f3657c7ad801a33d42ecd554536f,2026-06-27T12:50:52Z,https://github.com/apache/commons-text/pull/756,Keep TextStringBuilder.reverse from splitting surrogate pairs
stleary/JSON-java,java,1070,1795e8cf26229229e7ab6fe4aeab0f51ffecda5a,94854a1dfafdf7ecf168a60593240ecce13e7634,2026-07-29T12:50:08Z,https://github.com/stleary/JSON-java/pull/1070,Fix XML.unescape rejecting valid whitespace numeric character references
stleary/JSON-java,java,1068,1efb5f6c4303fbc173697852654088de1ed2b0a3,9953b760502800f7871cd942a6c920c4306edf60,2026-07-19T17:43:10Z,https://github.com/stleary/JSON-java/pull/1068,Max number length config for BigInteger and BigDecimal
stleary/JSON-java,java,1067,90563eb8777e35e0ddf95c7a67a75102d26b04a4,703ac34a55400f9c50889e3d0c778b6d7962e81c,2026-07-16T17:31:17Z,https://github.com/stleary/JSON-java/pull/1067,bound BigDecimal to BigInteger expansion in objectToBigInteger (completes CVE-2026-59171 fix)
stleary/JSON-java,java,1065,c91d821dbef3d4386775f45a1fc2ee559aeb78e3,ab92bb9088a37f9e346cd1dda66f6a3c40a201e0,2026-07-06T17:23:25Z,https://github.com/stleary/JSON-java/pull/1065,Fixes CVE-2026-59171
stleary/JSON-java,java,1062,33a4698428c0155b91674cd87146cae9554cf468,8353b59fa0a76736fd37a714da16ff41732cc935,2026-06-21T12:09:27Z,https://github.com/stleary/JSON-java/pull/1062,Refactor CDL row serialization for readability
stleary/JSON-java,java,1061,33a4698428c0155b91674cd87146cae9554cf468,ad26e94274bfae929d1805d8e25c82fad8c06691,2026-06-18T16:02:38Z,https://github.com/stleary/JSON-java/pull/1061,Restore lenient jsonarray allow consecutive commas and insert null
FluentValidation/FluentValidation,dotnet,2158,0480d4a3afa4378ae1491297e70be05b6c266f87,44cca0f68171d83a693dafa7ec9f0a0260dea1ae,2023-10-04T15:45:06Z,https://github.com/FluentValidation/FluentValidation/pull/2158,Performance optimization: focusing on allocation reduction
FluentValidation/FluentValidation,dotnet,2155,f56d91e71fc66c9f14571b297b8f8453e520b411,099789b94c8a1dfcaae13e4d3cbe38dea604731d,2023-09-12T19:23:28Z,https://github.com/FluentValidation/FluentValidation/pull/2155,Added Khmer langauge resouce.
FluentValidation/FluentValidation,dotnet,2153,04f1a42fd030bef9133c0448b29459b961443804,4d201c35200b51d87df8523c1d0e0fa17847713d,2023-11-24T17:31:06Z,https://github.com/FluentValidation/FluentValidation/pull/2153,Fix null debuggability
FluentValidation/FluentValidation,dotnet,2151,5b9eebc398356b6b4dea255c5b9fa127652ca9bf,967e33d8091a2274cf3ef70d0542db6689c89b50,2023-09-03T07:31:36Z,https://github.com/FluentValidation/FluentValidation/pull/2151,Chinese  language tags change
FluentValidation/FluentValidation,dotnet,2149,4c1b8893fe9e28e6b3957e032c5b15e34a78e011,39f49cd4fd484ac1a4d4b54e18a3fca1736eee44,2023-09-02T16:32:58Z,https://github.com/FluentValidation/FluentValidation/pull/2149,update tasks and Reference assemblies
FluentValidation/FluentValidation,dotnet,2147,32befcfc9b87da25fe33f28c49aa6b6aab2b4ce6,f84717f78aee3e9d3b343c196d29ea9d61c14472,2023-08-29T08:57:26Z,https://github.com/FluentValidation/FluentValidation/pull/2147,Fix Serbian for LengthValidator
FluentValidation/FluentValidation,dotnet,2140,d5818c8cf296d40c2fcdce5b4b0ebbefd8956e44,d9fcaa849f4cfb4941cac5c3080aae4250040ef8,2023-08-12T19:33:03Z,https://github.com/FluentValidation/FluentValidation/pull/2140,Also combine RuleSetsExecuted in ValidationResult combine ctor
FluentValidation/FluentValidation,dotnet,2136,ef50516decf652fd9f97090a4a4a9e114d458ce8,659fb1a7dfce895c98b21df64e67e6fe966f6e1b,2025-01-02T12:47:56Z,https://github.com/FluentValidation/FluentValidation/pull/2136,Improve performance by removing sync-over-async by generating sync methods using Zomp.SyncMethodGenerator
FluentValidation/FluentValidation,dotnet,2135,1f9102d8ab299eeddf3b4ffda9b96b695dedecfb,622de25f4450564614bd91786c34728902d2e301,2023-08-11T13:48:24Z,https://github.com/FluentValidation/FluentValidation/pull/2135,Add PropertyPath placeholder (#2134)
FluentValidation/FluentValidation,dotnet,2131,34f92059b3197a87ba763fce00a43387aa00e951,98ae0d9444b3914c0747cbf886870ca56ce9e2d8,2023-08-03T11:01:54Z,https://github.com/FluentValidation/FluentValidation/pull/2131,Fix Brazilian Portuguese translation message
