"repository","language","pr","baseSha","headSha","mergedAt","url","status","verdict","exitCode","unexpectedMembers","unexpectedCallSites","eligibleMembers","eligibleCallSites","suppressedMembers","suppressedCallSites","nondeterministicMembers","wouldComment","suppressionReasons","elapsedSeconds","reasonCategory"
"ardalis/GuardClauses","dotnet","350","6186c68df5af66c7f92841ddbb1e457bb25266c5","687dbb682ce4b816a496f76f1ca60b74ee2a0014","2024-07-01T19:15:29Z","https://github.com/ardalis/GuardClauses/pull/350","analyzed","findings","1","1","1","0","0","1","1","1","False","baseline_nondeterminism;no_causal_connectivity;unverified_frontier","49.502",""
"FluentValidation/FluentValidation","dotnet","2136","ef50516decf652fd9f97090a4a4a9e114d458ce8","659fb1a7dfce895c98b21df64e67e6fe966f6e1b","2025-01-02T12:47:56Z","https://github.com/FluentValidation/FluentValidation/pull/2136","analyzed","findings","1","12","112","0","0","12","112","11","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","176.427",""
"FluentValidation/FluentValidation","dotnet","2216","14cef8c70a4ce8584a1842405467b39d43dc5e2c","0b78603e9f7a3ae4fa822e11dc31b857bd474479","2024-05-25T11:18:07Z","https://github.com/FluentValidation/FluentValidation/pull/2216","analyzed","findings","1","8","34","0","0","8","34","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","110.34",""
"FluentValidation/FluentValidation","dotnet","2228","5bdac5bf74b1dcf36f4183a6a3441b03b2b6a3a3","eb0a7cf15d512b3909e626c8d08881737c029e4a","2024-06-30T20:18:34Z","https://github.com/FluentValidation/FluentValidation/pull/2228","analyzed","findings","1","8","33","0","0","8","33","6","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","204.703",""
"FluentValidation/FluentValidation","dotnet","2229","1bba0b2c7bbb87da766fd078c5383525dac2d451","93ae9e1cce13c1b08f06c54afecf3c16521fcf98","2024-07-16T10:51:46Z","https://github.com/FluentValidation/FluentValidation/pull/2229","analyzed","findings","1","11","44","0","0","11","44","9","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","123.872",""
"FluentValidation/FluentValidation","dotnet","2232","1bba0b2c7bbb87da766fd078c5383525dac2d451","4083da750ac9103ffecf395042fb7141dd699f8c","2024-07-12T16:49:51Z","https://github.com/FluentValidation/FluentValidation/pull/2232","analyzed","findings","1","8","36","0","0","8","36","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","111.922",""
"FluentValidation/FluentValidation","dotnet","2239","7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7","77dc92bb3d16e6be6c396052b5a97581c05d9bf3","2024-09-15T09:54:09Z","https://github.com/FluentValidation/FluentValidation/pull/2239","analyzed","findings","1","8","32","0","0","8","32","6","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","184.819",""
"FluentValidation/FluentValidation","dotnet","2241","7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7","c57ec479a5c83c86fc1d45070fa4de7b5f497f0e","2024-09-14T12:56:39Z","https://github.com/FluentValidation/FluentValidation/pull/2241","analyzed","findings","1","114","1156","0","0","114","1156","33","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","710.058",""
"FluentValidation/FluentValidation","dotnet","2244","7a85fbb4c7bf0008b0722ca9f2a6258e09216fb7","3dc285005f02ea9179e6bf450dcebfec238c91cc","2024-09-14T12:56:10Z","https://github.com/FluentValidation/FluentValidation/pull/2244","analyzed","findings","1","8","41","0","0","8","41","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","138.453",""
"FluentValidation/FluentValidation","dotnet","2249","8d3aa78bfe2fb87271e44043e197584d46881a41","7291526f866f2b67ffe7fb6d07ea1230a98314a3","2024-10-03T12:38:50Z","https://github.com/FluentValidation/FluentValidation/pull/2249","analyzed","findings","1","9","22","0","0","9","22","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","125.733",""
"FluentValidation/FluentValidation","dotnet","2254","dfe5764a236fe71a73741fede3a7e167e4de8c4b","b92c7f4fe40b9d1542b771b9f9cced4ff4adc5ff","2024-10-05T10:04:37Z","https://github.com/FluentValidation/FluentValidation/pull/2254","analyzed","findings","1","9","33","0","0","9","33","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","125.126",""
"FluentValidation/FluentValidation","dotnet","2256","dfe5764a236fe71a73741fede3a7e167e4de8c4b","a909af73932bba2e8fac5522f7805d81002a2d7d","2024-10-05T10:03:17Z","https://github.com/FluentValidation/FluentValidation/pull/2256","analyzed","findings","1","9","31","0","0","9","31","9","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","114.346",""
"FluentValidation/FluentValidation","dotnet","2257","dfe5764a236fe71a73741fede3a7e167e4de8c4b","e576b948575b0cf48647f5fc63cb5095534bcbe0","2024-10-05T10:02:19Z","https://github.com/FluentValidation/FluentValidation/pull/2257","analyzed","findings","1","9","36","0","0","9","36","7","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","102.94",""
"FluentValidation/FluentValidation","dotnet","2258","f322bb3d6d37e7cf9c8bccc1be0727ef75e30dce","62f918392faaf12fe3731697eac009f1cc3d89fe","2024-10-06T09:10:20Z","https://github.com/FluentValidation/FluentValidation/pull/2258","analyzed","findings","1","8","40","0","0","8","40","8","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","109.601",""
"FluentValidation/FluentValidation","dotnet","2278","f534dca8bee4223dbc8f30e2a1870b59a390177c","f112b6a04f7d3e855faa4ad5f125778e8d4571a9","2024-11-16T19:42:47Z","https://github.com/FluentValidation/FluentValidation/pull/2278","analyzed","findings","1","88","318","0","0","88","318","23","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","152.406",""
"FluentValidation/FluentValidation","dotnet","2283","792ce73236dda4de85dec81676248255a7e7fde7","a99b45d224493e101b84185228a8eb27080d4a6b","2024-12-24T13:53:24Z","https://github.com/FluentValidation/FluentValidation/pull/2283","analyzed","findings","1","138","4216","0","0","138","4216","32","False","baseline_nondeterminism;no_causal_connectivity;non_exact_digest;unverified_frontier","578.105",""
